Volcano Number,Volcano Name,Eruption Number,Eruption Start Year,Event Number,Event Type,Event Remarks,Event Date Year Modifier,Event Date Year,Event Date Year Uncertainty,Event Date Month,Event Date Day Modifier,Event Date Day,Event Date Day Uncertainty
210020,Chaine des Puys,10011,-4040,100001,Explosion,,,,,,,,
210020,Chaine des Puys,10011,-4040,100002,Scoria,,,,,,,,
210020,Chaine des Puys,10011,-4040,100003,Pyroclastic flow,,,,,,,,
210020,Chaine des Puys,10011,-4040,100004,Lava flow,,,,,,,,
210020,Chaine des Puys,10011,-4040,100005,Cinder Cone,,,,,,,,
210020,Chaine des Puys,10011,-4040,100006,Pumice,,,,,,,,
210040,Calatrava Volcanic Field,10012,-3600,100008,Explosion,,,,,,,,
210040,Calatrava Volcanic Field,10012,-3600,100009,Pyroclastic flow,,,,,,,,
211010,Campi Flegrei,10018,-8480,100025,Explosion,,,,,,,,
211010,Campi Flegrei,10018,-8480,100026,Pyroclastic flow,,,,,,,,
211010,Campi Flegrei,10018,-8480,100027,Pumice,,,,,,,,
211010,Campi Flegrei,10019,-7980,100030,Explosion,,,,,,,,
211010,Campi Flegrei,10019,-7980,100031,Ash,,,,,,,,
211010,Campi Flegrei,10019,-7980,100032,Lapilli,,,,,,,,
211010,Campi Flegrei,10019,-7980,100033,Pyroclastic flow,,,,,,,,
211010,Campi Flegrei,10019,-7980,100034,Pumice,,,,,,,,
211010,Campi Flegrei,10025,-2580,100036,Explosion,,,,,,,,
211010,Campi Flegrei,10025,-2580,100037,Ash,,,,,,,,
211010,Campi Flegrei,10025,-2580,100038,Lapilli,,,,,,,,
211010,Campi Flegrei,10025,-2580,100039,Pyroclastic flow,,,,,,,,
211010,Campi Flegrei,10026,-2500,100041,Explosion,,,,,,,,
211010,Campi Flegrei,10026,-2500,100042,Ash,,,,,,,,
211010,Campi Flegrei,10026,-2500,100043,Pyroclastic flow,,,,,,,,
211010,Campi Flegrei,10026,-2500,100044,Pumice,,,,,,,,
211010,Campi Flegrei,10027,-2440,100046,Explosion,,,,,,,,
211010,Campi Flegrei,10027,-2440,100047,Ash,,,,,,,,
211010,Campi Flegrei,10027,-2440,100048,Lapilli,,,,,,,,
211010,Campi Flegrei,10027,-2440,100049,Pyroclastic flow,,,,,,,,
211010,Campi Flegrei,10027,-2440,100050,Pumice,,,,,,,,
211010,Campi Flegrei,10028,-2330,100052,Explosion,,,,,,,,
211010,Campi Flegrei,10028,-2330,100053,Ash,,,,,,,,
211010,Campi Flegrei,10028,-2330,100054,Lapilli,,,,,,,,
211010,Campi Flegrei,10028,-2330,100055,Pyroclastic flow,,,,,,,,
211010,Campi Flegrei,10029,-2220,100057,Explosion,,,,,,,,
211010,Campi Flegrei,10029,-2220,100058,Ash,,,,,,,,
211010,Campi Flegrei,10029,-2220,100059,Lapilli,,,,,,,,
211010,Campi Flegrei,10029,-2220,100060,Pyroclastic flow,,,,,,,,
211010,Campi Flegrei,10029,-2220,100061,Pumice,,,,,,,,
263300,Semeru,10030,1915,100063,Explosion,Uncertain,,,,,,,
263300,Semeru,10030,1915,100064,Lahar or Mudflow,,,,,,,,
263300,Semeru,10031,1941,100066,Explosion,,,,,,,,
263300,Semeru,10031,1941,100067,Ash,,,,,,,,
263300,Semeru,10031,1941,100068,Bombs,,,,,,,,
211010,Campi Flegrei,10037,-1870,100069,Ash,,,,,,,,
211010,Campi Flegrei,10037,-1870,100070,Scoria,,,,,,,,
211010,Campi Flegrei,10037,-1870,100071,Pyroclastic flow,,,,,,,,
211010,Campi Flegrei,10037,-1870,100072,Lava flow,,,,,,,,
211010,Campi Flegrei,10037,-1870,100073,Lava dome,,,,,,,,
211010,Campi Flegrei,10037,-1870,100074,Pumice,,,,,,,,
